"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline","size=10000","0.00967","0.009757","8.7E-05","0.9","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullFilterPipeline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline","size=1000","0.408606","0.410196","0.00159","0.39","slower","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline","size=10000","3.509321","3.101621","-0.407699","-11.62","faster","core|laughing.man.commits.benchmark.PojoLensPipelineJmhBenchmark.fullGroupPipeline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain","size=1000","0.002986","0.002783","-0.000204","-6.82","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain","size=10000","0.002927","0.003047","0.00012","4.1","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplain|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution","size=1000","0.80777","0.727942","-0.079828","-9.88","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution","size=10000","2.375212","2.465066","0.089854","3.78","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndExplainExecution|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter","size=1000","0.096367","0.094403","-0.001964","-2.04","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter","size=10000","0.667285","0.695647","0.028362","4.25","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilter|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth","size=1000","0.402414","0.385961","-0.016453","-4.09","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth|size=1000|avgt|ms/op"
